,t-24,t-23,t-22,t-21,t-20,t-19,t-18,t-17,t-16,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t-0
59,0.046666753,0.056504283,0.1622558,0.12508766,0.17832942,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617
60,0.056504283,0.1622558,0.12508766,0.17832942,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046
61,0.1622558,0.12508766,0.17832942,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347
62,0.12508766,0.17832942,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446
63,0.17832942,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956
64,0.4762512,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932
65,0.18133931,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966
66,0.13514112,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298
67,0.08691963,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151
68,0.06511304,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584
69,0.05697034,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268
70,0.056529798,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745
71,0.06792318,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444
72,0.067028485,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398
73,0.14351426,0.12363219,0.1325381,0.15790242,0.1892882,0.10375571,0.045037754,0.05412898,0.059118375,0.05876008,0.06430617,0.066573046,0.11089347,0.10455446,0.077182956,0.12285932,0.06841966,0.06027298,0.05105151,0.062930584,0.05846268,0.06085745,0.060371444,0.06652398,0.05820025
