Units, ,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF
Type, ,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER
268,31 Jan 1943, 24:00, , ,13.383, , , , , , , 
269,28 Feb 1943, 24:00, , ,5.574, , , , , , , 
270,31 Mar 1943, 24:00, , ,0.000, , , , , , , 
271,30 Apr 1943, 24:00, , ,2.387, , , , , , , 
272,31 May 1943, 24:00, , ,10.106, , , , , , , 
273,30 Jun 1943, 24:00, , ,8.062, , , , , , , 
274,31 Jul 1943, 24:00, , ,8.811, , , , , , , 
275,31 Aug 1943, 24:00, , ,8.264, , , , , , , 
276,30 Sep 1943, 24:00, , ,7.678, , , , , , , 
277,31 Oct 1943, 24:00, , ,9.218, , , , , , , 
278,30 Nov 1943, 24:00, , ,9.007, , , , , , , 
279,31 Dec 1943, 24:00, , ,1.589, , , , , , , 
280,31 Jan 1944, 24:00, , ,1.715, , , , , , , 
281,29 Feb 1944, 24:00, , ,8.513, , , , , , , 
282,31 Mar 1944, 24:00, , ,10.343, , , , , , , 
283,30 Apr 1944, 24:00, , ,9.070, , , , , , , 
284,31 May 1944, 24:00, , ,8.186, , , , , , , 
285,30 Jun 1944, 24:00, , ,7.923, , , , , , , 
286,31 Jul 1944, 24:00, , ,8.249, , , , , , , 
287,31 Aug 1944, 24:00, , ,9.228, , , , , , , 
288,30 Sep 1944, 24:00, , ,8.144, , , , , , , 
289,31 Oct 1944, 24:00, , ,6.012, , , , , , , 
290,30 Nov 1944, 24:00, , ,6.841, , , , , , , 
291,31 Dec 1944, 24:00, , ,12.853, , , , , , , 
292,31 Jan 1945, 24:00, , ,14.620, , , , , , , 
293,28 Feb 1945, 24:00, , ,12.942, , , , , , , 
294,31 Mar 1945, 24:00, , ,14.491, , , , , , , 
295,30 Apr 1945, 24:00, , ,14.284, , , , , , , 
296,31 May 1945, 24:00, , ,14.778, , , , , , , 
297,30 Jun 1945, 24:00, , ,14.126, , , , , , , 
298,31 Jul 1945, 24:00, , ,14.472, , , , , , , 
